49.283,-123.121,Vancouver,Canada
53.546,-113.494,Edmonton,Canada
43.651,-79.347,Toronto,Canada
45.421,-75.692,Ottawa,Canada
49.895,-97.138,Winnipeg,Canada
51.049,-114.071,Calgary,Canada
48.428,-123.366,Victoria,Canada
43.700,-79.416,Hamilton,Canada
43.700,-79.420,Mississauga,Canada
46.814,-71.208,Quebec City,Canada
53.544,-113.491,Strathcona County,Canada
53.917,-122.749,Prince George,Canada
46.467,-80.974,Sudbury,Canada
50.676,-120.341,Kamloops,Canada
53.267,-113.550,Leduc,Canada
53.563,-113.336,Spruce Grove,Canada
50.943,-118.966,Salmon Arm,Canada
53.258,-113.550,Beaumont,Canada
45.481,-73.563,Laval,Canada
43.850,-79.033,Markham,Canada
49.853,-99.952,Brandon,Canada
53.523,-113.526,Fort Saskatchewan,Canada
43.556,-79.663,Burlington,Canada
53.457,-113.516,St. Albert,Canada
51.161,-106.678,Warman,Canada
53.571,-113.419,Morinville,Canada
53.306,-113.580,Devon,Canada
53.632,-113.323,Gibbons,Canada
53.581,-113.334,Bon Accord,Canada
53.717,-113.214,Gibbons,Canada
45.508,-73.587,Montreal,Canada